Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,DayOfWeek,Month,Day,Year,YearMonth,IsWeekend,Check_Total,Difference,High_Spending,Item_Popularity
Coffee,2,2,4,Credit Card,Takeaway,4,9,8,2023,2023-09,0,4,0,0,1160
Cake,4,3,12,Cash,In-store,1,5,16,2023,2023-05,0,12,0,1,1138
Cookie,4,1,4,Credit Card,In-store,2,7,19,2023,2023-07,0,4,0,0,1090
Salad,2,5,10,Credit Card,In-store,3,4,27,2023,2023-04,0,10,0,1,1146
Coffee,2,2,4,Digital Wallet,In-store,6,6,11,2023,2023-06,1,4,0,0,1160
Smoothie,5,4,20,Credit Card,In-store,4,3,31,2023,2023-03,0,20,0,1,1094
Sandwich,4,4,16,Cash,In-store,5,10,28,2023,2023-10,1,16,0,1,1127
Sandwich,5,4,20,Credit Card,In-store,6,12,31,2023,2023-12,1,20,0,1,1127
Salad,5,5,25,Cash,Takeaway,1,11,7,2023,2023-11,0,25,0,1,1146
Sandwich,2,4,8,Credit Card,Takeaway,6,10,16,2023,2023-10,0,8,0,0,1127
Sandwich,2,4,8,Cash,In-store,2,5,3,2023,2023-05,0,8,0,0,1127
Cookie,5,1,5,Digital Wallet,Takeaway,3,6,1,2023,2023-06,0,5,0,0,1090
Salad,3,5,15,Credit Card,In-store,2,11,15,2023,2023-11,0,15,0,1,1146
Sandwich,1,4,4,Credit Card,In-store,5,6,10,2023,2023-06,1,4,0,0,1127
Juice,2,3,6,Cash,In-store,4,2,24,2023,2023-02,0,6,0,0,1168
Cake,5,3,15,Cash,Takeaway,5,3,25,2023,2023-03,1,15,0,1,1138
Juice,4,3,12,Cash,Takeaway,6,1,15,2023,2023-01,1,12,0,1,1168
Smoothie,5,4,20,Cash,In-store,1,4,4,2023,2023-04,0,20,0,1,1094
Smoothie,4,4,16,Credit Card,Takeaway,3,3,30,2023,2023-03,0,16,0,1,1094
Sandwich,3,4,12,Digital Wallet,Takeaway,4,12,1,2023,2023-12,0,12,0,1,1127
Sandwich,2,4,8,Credit Card,In-store,0,9,18,2023,2023-09,0,8,0,0,1127
Sandwich,5,4,20,Cash,In-store,5,6,3,2023,2023-06,1,20,0,1,1127
Smoothie,3,4,12,Credit Card,In-store,2,12,13,2023,2023-12,0,12,0,1,1094
Cookie,5,1,5,Credit Card,In-store,3,4,20,2023,2023-04,0,5,0,0,1090
Juice,4,3,12,Credit Card,Takeaway,0,4,10,2023,2023-04,0,12,0,1,1168
Smoothie,5,4,20,Credit Card,In-store,5,3,11,2023,2023-03,1,20,0,1,1094
Cake,4,3,12,Digital Wallet,Takeaway,6,10,16,2023,2023-10,0,12,0,1,1138
Smoothie,4,4,16,Credit Card,In-store,1,8,15,2023,2023-08,0,16,0,1,1094
Smoothie,2,4,8,Digital Wallet,Takeaway,0,10,9,2023,2023-10,0,8,0,0,1094
Sandwich,1,4,4,Credit Card,In-store,6,5,28,2023,2023-05,1,4,0,0,1127
Salad,2,5,10,Credit Card,In-store,5,4,29,2023,2023-04,1,10,0,1,1146
Smoothie,4,4,16,Digital Wallet,Takeaway,3,6,8,2023,2023-06,0,16,0,1,1094
